id	max_rounds	pick	rounds	interference	exit	trace
S1	1	ok:task	impl=ok;panel=all;judge=rewrite	-	2	pick,impl1:ok,panel1:all,judge1
S2	1	ok:task	impl=ok;panel=all;judge=done	-	0	pick,impl1:ok,panel1:all,judge1
S3	1	ok:task	impl=ok;panel=all;judge=blocked	-	1	pick,impl1:ok,panel1:all,judge1
S4	1	ok:task	impl=ok;panel=all;judge=idle	-	2	pick,impl1:ok,panel1:all,judge1
S5	1	ok:task	impl=ok;panel=all;judge=other	-	2	pick,impl1:ok,panel1:all,judge1
S6	1	ok:task	impl=ok;panel=all;judge=same	-	2	pick,impl1:ok,panel1:all,judge1
S7	1	ok:task	impl=ok;panel=all;judge=fail	-	2	pick,impl1:ok,panel1:all,judge1
S8	1	ok:task	impl=ok;panel=some;judge=rewrite	-	2	pick,impl1:ok,panel1:some,judge1
S9	1	ok:task	impl=ok;panel=some;judge=done	-	0	pick,impl1:ok,panel1:some,judge1
S10	1	ok:task	impl=ok;panel=some;judge=blocked	-	1	pick,impl1:ok,panel1:some,judge1
S11	1	ok:task	impl=ok;panel=some;judge=idle	-	2	pick,impl1:ok,panel1:some,judge1
S12	1	ok:task	impl=ok;panel=some;judge=other	-	2	pick,impl1:ok,panel1:some,judge1
S13	1	ok:task	impl=ok;panel=some;judge=same	-	2	pick,impl1:ok,panel1:some,judge1
S14	1	ok:task	impl=ok;panel=some;judge=fail	-	2	pick,impl1:ok,panel1:some,judge1
S15	1	ok:task	impl=ok;panel=none;judge=rewrite	-	2	pick,impl1:ok,panel1:none
S16	1	ok:task	impl=fail;panel=all;judge=rewrite	-	2	pick,impl1:fail,panel1:all,judge1
S17	1	ok:task	impl=fail;panel=all;judge=done	-	0	pick,impl1:fail,panel1:all,judge1
S18	1	ok:task	impl=fail;panel=all;judge=blocked	-	1	pick,impl1:fail,panel1:all,judge1
S19	1	ok:task	impl=fail;panel=all;judge=idle	-	2	pick,impl1:fail,panel1:all,judge1
S20	1	ok:task	impl=fail;panel=all;judge=other	-	2	pick,impl1:fail,panel1:all,judge1
S21	1	ok:task	impl=fail;panel=all;judge=same	-	2	pick,impl1:fail,panel1:all,judge1
S22	1	ok:task	impl=fail;panel=all;judge=fail	-	2	pick,impl1:fail,panel1:all,judge1
S23	1	ok:task	impl=fail;panel=some;judge=rewrite	-	2	pick,impl1:fail,panel1:some,judge1
S24	1	ok:task	impl=fail;panel=some;judge=done	-	0	pick,impl1:fail,panel1:some,judge1
S25	1	ok:task	impl=fail;panel=some;judge=blocked	-	1	pick,impl1:fail,panel1:some,judge1
S26	1	ok:task	impl=fail;panel=some;judge=idle	-	2	pick,impl1:fail,panel1:some,judge1
S27	1	ok:task	impl=fail;panel=some;judge=other	-	2	pick,impl1:fail,panel1:some,judge1
S28	1	ok:task	impl=fail;panel=some;judge=same	-	2	pick,impl1:fail,panel1:some,judge1
S29	1	ok:task	impl=fail;panel=some;judge=fail	-	2	pick,impl1:fail,panel1:some,judge1
S30	1	ok:task	impl=fail;panel=none;judge=rewrite	-	2	pick,impl1:fail,panel1:none
S31	1	ok:done	-	-	0	pick
S32	1	ok:blocked	-	-	1	pick
S33	1	ok:idle	-	-	3	pick
S34	1	ok:other	-	-	2	pick
S35	1	ok:nothing	-	-	2	pick
S36	1	fail	-	-	2	pick
S37	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=ok;panel=all;judge=rewrite	-	2	pick,impl1:ok,panel1:all,judge1,impl2:ok,panel2:all,judge2
S38	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=ok;panel=all;judge=done	-	0	pick,impl1:ok,panel1:all,judge1,impl2:ok,panel2:all,judge2
S39	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=ok;panel=all;judge=blocked	-	1	pick,impl1:ok,panel1:all,judge1,impl2:ok,panel2:all,judge2
S40	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=ok;panel=all;judge=idle	-	2	pick,impl1:ok,panel1:all,judge1,impl2:ok,panel2:all,judge2
S41	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=ok;panel=all;judge=other	-	2	pick,impl1:ok,panel1:all,judge1,impl2:ok,panel2:all,judge2
S42	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=ok;panel=all;judge=same	-	2	pick,impl1:ok,panel1:all,judge1,impl2:ok,panel2:all,judge2
S43	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=ok;panel=all;judge=fail	-	2	pick,impl1:ok,panel1:all,judge1,impl2:ok,panel2:all,judge2
S44	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=ok;panel=some;judge=rewrite	-	2	pick,impl1:ok,panel1:all,judge1,impl2:ok,panel2:some,judge2
S45	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=ok;panel=some;judge=done	-	0	pick,impl1:ok,panel1:all,judge1,impl2:ok,panel2:some,judge2
S46	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=ok;panel=some;judge=blocked	-	1	pick,impl1:ok,panel1:all,judge1,impl2:ok,panel2:some,judge2
S47	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=ok;panel=some;judge=idle	-	2	pick,impl1:ok,panel1:all,judge1,impl2:ok,panel2:some,judge2
S48	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=ok;panel=some;judge=other	-	2	pick,impl1:ok,panel1:all,judge1,impl2:ok,panel2:some,judge2
S49	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=ok;panel=some;judge=same	-	2	pick,impl1:ok,panel1:all,judge1,impl2:ok,panel2:some,judge2
S50	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=ok;panel=some;judge=fail	-	2	pick,impl1:ok,panel1:all,judge1,impl2:ok,panel2:some,judge2
S51	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=ok;panel=none;judge=rewrite	-	2	pick,impl1:ok,panel1:all,judge1,impl2:ok,panel2:none
S52	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=fail;panel=all;judge=rewrite	-	2	pick,impl1:ok,panel1:all,judge1,impl2:fail,panel2:all,judge2
S53	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=fail;panel=all;judge=done	-	0	pick,impl1:ok,panel1:all,judge1,impl2:fail,panel2:all,judge2
S54	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=fail;panel=all;judge=blocked	-	1	pick,impl1:ok,panel1:all,judge1,impl2:fail,panel2:all,judge2
S55	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=fail;panel=all;judge=idle	-	2	pick,impl1:ok,panel1:all,judge1,impl2:fail,panel2:all,judge2
S56	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=fail;panel=all;judge=other	-	2	pick,impl1:ok,panel1:all,judge1,impl2:fail,panel2:all,judge2
S57	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=fail;panel=all;judge=same	-	2	pick,impl1:ok,panel1:all,judge1,impl2:fail,panel2:all,judge2
S58	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=fail;panel=all;judge=fail	-	2	pick,impl1:ok,panel1:all,judge1,impl2:fail,panel2:all,judge2
S59	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=fail;panel=some;judge=rewrite	-	2	pick,impl1:ok,panel1:all,judge1,impl2:fail,panel2:some,judge2
S60	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=fail;panel=some;judge=done	-	0	pick,impl1:ok,panel1:all,judge1,impl2:fail,panel2:some,judge2
S61	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=fail;panel=some;judge=blocked	-	1	pick,impl1:ok,panel1:all,judge1,impl2:fail,panel2:some,judge2
S62	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=fail;panel=some;judge=idle	-	2	pick,impl1:ok,panel1:all,judge1,impl2:fail,panel2:some,judge2
S63	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=fail;panel=some;judge=other	-	2	pick,impl1:ok,panel1:all,judge1,impl2:fail,panel2:some,judge2
S64	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=fail;panel=some;judge=same	-	2	pick,impl1:ok,panel1:all,judge1,impl2:fail,panel2:some,judge2
S65	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=fail;panel=some;judge=fail	-	2	pick,impl1:ok,panel1:all,judge1,impl2:fail,panel2:some,judge2
S66	2	ok:task	impl=ok;panel=all;judge=rewrite|impl=fail;panel=none;judge=rewrite	-	2	pick,impl1:ok,panel1:all,judge1,impl2:fail,panel2:none
S67	2	ok:task	impl=ok;panel=all;judge=done	-	0	pick,impl1:ok,panel1:all,judge1
S68	2	ok:task	impl=ok;panel=all;judge=blocked	-	1	pick,impl1:ok,panel1:all,judge1
S69	2	ok:task	impl=ok;panel=all;judge=idle	-	2	pick,impl1:ok,panel1:all,judge1
S70	2	ok:task	impl=ok;panel=all;judge=other	-	2	pick,impl1:ok,panel1:all,judge1
S71	2	ok:task	impl=ok;panel=all;judge=same	-	2	pick,impl1:ok,panel1:all,judge1
S72	2	ok:task	impl=ok;panel=all;judge=fail	-	2	pick,impl1:ok,panel1:all,judge1
S73	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=ok;panel=all;judge=rewrite	-	2	pick,impl1:ok,panel1:some,judge1,impl2:ok,panel2:all,judge2
S74	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=ok;panel=all;judge=done	-	0	pick,impl1:ok,panel1:some,judge1,impl2:ok,panel2:all,judge2
S75	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=ok;panel=all;judge=blocked	-	1	pick,impl1:ok,panel1:some,judge1,impl2:ok,panel2:all,judge2
S76	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=ok;panel=all;judge=idle	-	2	pick,impl1:ok,panel1:some,judge1,impl2:ok,panel2:all,judge2
S77	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=ok;panel=all;judge=other	-	2	pick,impl1:ok,panel1:some,judge1,impl2:ok,panel2:all,judge2
S78	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=ok;panel=all;judge=same	-	2	pick,impl1:ok,panel1:some,judge1,impl2:ok,panel2:all,judge2
S79	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=ok;panel=all;judge=fail	-	2	pick,impl1:ok,panel1:some,judge1,impl2:ok,panel2:all,judge2
S80	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=ok;panel=some;judge=rewrite	-	2	pick,impl1:ok,panel1:some,judge1,impl2:ok,panel2:some,judge2
S81	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=ok;panel=some;judge=done	-	0	pick,impl1:ok,panel1:some,judge1,impl2:ok,panel2:some,judge2
S82	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=ok;panel=some;judge=blocked	-	1	pick,impl1:ok,panel1:some,judge1,impl2:ok,panel2:some,judge2
S83	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=ok;panel=some;judge=idle	-	2	pick,impl1:ok,panel1:some,judge1,impl2:ok,panel2:some,judge2
S84	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=ok;panel=some;judge=other	-	2	pick,impl1:ok,panel1:some,judge1,impl2:ok,panel2:some,judge2
S85	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=ok;panel=some;judge=same	-	2	pick,impl1:ok,panel1:some,judge1,impl2:ok,panel2:some,judge2
S86	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=ok;panel=some;judge=fail	-	2	pick,impl1:ok,panel1:some,judge1,impl2:ok,panel2:some,judge2
S87	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=ok;panel=none;judge=rewrite	-	2	pick,impl1:ok,panel1:some,judge1,impl2:ok,panel2:none
S88	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=fail;panel=all;judge=rewrite	-	2	pick,impl1:ok,panel1:some,judge1,impl2:fail,panel2:all,judge2
S89	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=fail;panel=all;judge=done	-	0	pick,impl1:ok,panel1:some,judge1,impl2:fail,panel2:all,judge2
S90	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=fail;panel=all;judge=blocked	-	1	pick,impl1:ok,panel1:some,judge1,impl2:fail,panel2:all,judge2
S91	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=fail;panel=all;judge=idle	-	2	pick,impl1:ok,panel1:some,judge1,impl2:fail,panel2:all,judge2
S92	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=fail;panel=all;judge=other	-	2	pick,impl1:ok,panel1:some,judge1,impl2:fail,panel2:all,judge2
S93	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=fail;panel=all;judge=same	-	2	pick,impl1:ok,panel1:some,judge1,impl2:fail,panel2:all,judge2
S94	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=fail;panel=all;judge=fail	-	2	pick,impl1:ok,panel1:some,judge1,impl2:fail,panel2:all,judge2
S95	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=fail;panel=some;judge=rewrite	-	2	pick,impl1:ok,panel1:some,judge1,impl2:fail,panel2:some,judge2
S96	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=fail;panel=some;judge=done	-	0	pick,impl1:ok,panel1:some,judge1,impl2:fail,panel2:some,judge2
S97	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=fail;panel=some;judge=blocked	-	1	pick,impl1:ok,panel1:some,judge1,impl2:fail,panel2:some,judge2
S98	2	ok:task	impl=ok;panel=some;judge=rewrite|impl=fail;panel=some;judge=idle	-	2	pick,impl1:ok,panel1:some,judge1,impl2:fail,panel2:some,judge2
